2026-05-12 10:27:13.997 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=305ms | DESC=User login attempt | ERROR=Invalid email or password. Please try again.
2026-05-12 11:08:51.447 [AUDIT] ACTION=CREATE_USER | RESOURCE=User | USER=raksha.sharma@gmtechnosys.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=12ms | DESC=Create full user profile (person + role + auth credentials) | ERROR=Cannot deserialize value of type `com.gm.hrms.enums.WorkMode` from String "ON_SITE": not one of the values accepted for Enum class: [HYBRID, ONSITE, REMOTE]
 at [Source: REDACTED (`StreamReadFeature.INCLUDE_SOURCE_IN_LOCATION` disabled); byte offset: #UNKNOWN] (through reference chain: com.gm.hrms.dto.request.PersonalInformationRequestDTO["workProfile"]->com.gm.hrms.dto.request.WorkProfileRequestDTO["workMode"])
2026-05-12 11:11:27.772 [AUDIT] ACTION=CREATE_USER | RESOURCE=User | USER=raksha.sharma@gmtechnosys.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=0ms | DESC=Create full user profile (person + role + auth credentials) | ERROR=Cannot deserialize value of type `com.gm.hrms.enums.WorkMode` from String "ON_SITE": not one of the values accepted for Enum class: [HYBRID, ONSITE, REMOTE]
 at [Source: REDACTED (`StreamReadFeature.INCLUDE_SOURCE_IN_LOCATION` disabled); byte offset: #UNKNOWN] (through reference chain: com.gm.hrms.dto.request.PersonalInformationRequestDTO["workProfile"]->com.gm.hrms.dto.request.WorkProfileRequestDTO["workMode"])
2026-05-12 11:15:55.356 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=31ms | DESC=Access token refresh | ERROR=-
2026-05-12 11:15:55.802 [AUDIT] ACTION=CREATE_USER | RESOURCE=User | USER=raksha.sharma@gmtechnosys.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=142ms | DESC=Create full user profile (person + role + auth credentials) | ERROR=Leave policy not found
2026-05-12 11:25:20.403 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=78ms | DESC=User login attempt | ERROR=-
2026-05-12 11:25:37.503 [AUDIT] ACTION=ATTENDANCE_CHECK_IN | RESOURCE=Attendance | USER=ankit.patel@gmtechnosys.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=31ms | DESC=Employee check-in | ERROR=could not execute statement [ERROR: duplicate key value violates unique constraint "attendance_pkey"
  Detail: Key (id)=(1) already exists.] [insert into attendance (attendance_date,check_in,check_out,created_at,created_by,personal_information_id,status,updated_at,updated_by,work_profile_id) values (?,?,?,?,?,?,?,?,?,?)]; SQL [insert into attendance (attendance_date,check_in,check_out,created_at,created_by,personal_information_id,status,updated_at,updated_by,work_profile_id) values (?,?,?,?,?,?,?,?,?,?)]; constraint [attendance_pkey]
2026-05-12 11:25:52.075 [AUDIT] ACTION=ATTENDANCE_CHECK_IN | RESOURCE=Attendance | USER=ankit.patel@gmtechnosys.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=7ms | DESC=Employee check-in | ERROR=could not execute statement [ERROR: duplicate key value violates unique constraint "attendance_pkey"
  Detail: Key (id)=(2) already exists.] [insert into attendance (attendance_date,check_in,check_out,created_at,created_by,personal_information_id,status,updated_at,updated_by,work_profile_id) values (?,?,?,?,?,?,?,?,?,?)]; SQL [insert into attendance (attendance_date,check_in,check_out,created_at,created_by,personal_information_id,status,updated_at,updated_by,work_profile_id) values (?,?,?,?,?,?,?,?,?,?)]; constraint [attendance_pkey]
2026-05-12 11:27:55.232 [AUDIT] ACTION=ATTENDANCE_CHECK_IN | RESOURCE=Attendance | USER=ankit.patel@gmtechnosys.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=40ms | DESC=Employee check-in | ERROR=-
2026-05-12 11:40:24.323 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=467ms | DESC=Access token refresh | ERROR=-
2026-05-12 11:51:37.283 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=116ms | DESC=User login attempt | ERROR=Invalid email or password. Please try again.
2026-05-12 11:51:39.250 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=75ms | DESC=User login attempt | ERROR=-
2026-05-12 12:10:33.640 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=649ms | DESC=Access token refresh | ERROR=-
2026-05-12 12:27:32.685 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=18ms | DESC=Access token refresh | ERROR=-
2026-05-12 12:29:08.599 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1131ms | DESC=User login attempt | ERROR=-
2026-05-12 12:30:43.415 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=223ms | DESC=User login attempt | ERROR=-
2026-05-12 12:35:20.568 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=220ms | DESC=User login attempt | ERROR=Invalid email or password. Please try again.
2026-05-12 12:35:32.311 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=212ms | DESC=User login attempt | ERROR=-
2026-05-12 12:36:07.427 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=104ms | DESC=User login attempt | ERROR=-
2026-05-12 12:36:07.715 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=85ms | DESC=User login attempt | ERROR=could not execute statement [ERROR: duplicate key value violates unique constraint "ukghpmfn23vmxfu3spu3lfg4r2d"
  Detail: Key (token)=(eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ5YXNocmFqLmdtdGVjaG5vc3lzQGdtYWlsLmNvbSIsImlhdCI6MTc3ODU2OTU2NywiZXhwIjoxNzc5MTc0MzY3fQ.bjDg457d_ieP3_8SwYl1gliv6UCdxcyfLSj6pj017us) already exists.] [insert into refresh_tokens (created_at,created_by,expiry_date,token,updated_at,updated_by,user_auth_id) values (?,?,?,?,?,?,?)]; SQL [insert into refresh_tokens (created_at,created_by,expiry_date,token,updated_at,updated_by,user_auth_id) values (?,?,?,?,?,?,?)]; constraint [ukghpmfn23vmxfu3spu3lfg4r2d]
2026-05-12 12:36:24.510 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=94ms | DESC=User login attempt | ERROR=-
2026-05-12 12:40:08.943 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=61ms | DESC=User login attempt | ERROR=Invalid email or password. Please try again.
2026-05-12 12:40:10.722 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=88ms | DESC=User login attempt | ERROR=-
2026-05-12 12:41:45.702 [AUDIT] ACTION=CORRECT_ATTENDANCE | RESOURCE=Attendance | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=43ms | DESC=Admin attendance correction | ERROR=-
2026-05-12 12:42:13.449 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=93ms | DESC=User login attempt | ERROR=-
2026-05-12 12:42:49.944 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=89ms | DESC=User login attempt | ERROR=-
2026-05-12 12:43:14.384 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=71ms | DESC=User login attempt | ERROR=-
2026-05-12 12:43:34.205 [AUDIT] ACTION=ATTENDANCE_CHECK_IN | RESOURCE=Attendance | USER=sneha.mehta@gmtechnosys.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=44ms | DESC=Employee check-in | ERROR=-
2026-05-12 12:43:49.114 [AUDIT] ACTION=ATTENDANCE_BREAK_START | RESOURCE=Attendance | USER=sneha.mehta@gmtechnosys.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=39ms | DESC=Break started | ERROR=-
2026-05-12 12:43:54.408 [AUDIT] ACTION=ATTENDANCE_BREAK_END | RESOURCE=Attendance | USER=sneha.mehta@gmtechnosys.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=26ms | DESC=Break ended | ERROR=-
2026-05-12 12:44:01.376 [AUDIT] ACTION=ATTENDANCE_CHECK_OUT | RESOURCE=Attendance | USER=sneha.mehta@gmtechnosys.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=29ms | DESC=Employee check-out | ERROR=-
2026-05-12 12:51:12.338 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=6ms | DESC=Access token refresh | ERROR=Refresh token not found
2026-05-12 12:51:21.315 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=77ms | DESC=User login attempt | ERROR=-
2026-05-12 12:55:17.719 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=10ms | DESC=Access token refresh | ERROR=Refresh token not found
2026-05-12 12:56:30.009 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=184ms | DESC=User login attempt | ERROR=-
2026-05-12 12:56:38.746 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=0ms | DESC=Access token refresh | ERROR=Refresh token not found
2026-05-12 12:57:21.433 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=206ms | DESC=User login attempt | ERROR=-
2026-05-12 12:58:04.624 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=50ms | DESC=Access token refresh | ERROR=-
2026-05-12 13:08:14.105 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=19ms | DESC=Access token refresh | ERROR=Refresh token not found
2026-05-12 13:08:24.414 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=716ms | DESC=User login attempt | ERROR=-
2026-05-12 13:13:59.945 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=3ms | DESC=Access token refresh | ERROR=Refresh token not found
2026-05-12 13:14:08.629 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=87ms | DESC=User login attempt | ERROR=-
2026-05-12 13:31:15.319 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=60ms | DESC=Access token refresh | ERROR=-
2026-05-12 13:46:38.341 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=29ms | DESC=Access token refresh | ERROR=-
2026-05-12 13:46:38.670 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=43ms | DESC=Access token refresh | ERROR=-
2026-05-12 13:50:41.356 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=2ms | DESC=Access token refresh | ERROR=Refresh token not found
2026-05-12 13:50:49.220 [AUDIT] ACTION=ASSIGN_SHIFT | RESOURCE=ShiftAssignment | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=33ms | DESC=Assign shift to employees | ERROR=-
2026-05-12 13:50:52.839 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=105ms | DESC=User login attempt | ERROR=-
2026-05-12 13:52:43.683 [AUDIT] ACTION=CREATE_SHIFT | RESOURCE=Shift | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=11ms | DESC=Create shift | ERROR=-
2026-05-12 13:53:00.345 [AUDIT] ACTION=TOGGLE_SHIFT_STATUS | RESOURCE=Shift | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=21ms | DESC=Toggle shift active status | ERROR=-
2026-05-12 13:53:14.370 [AUDIT] ACTION=TOGGLE_SHIFT_STATUS | RESOURCE=Shift | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=18ms | DESC=Toggle shift active status | ERROR=-
2026-05-12 14:04:28.161 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=5ms | DESC=Access token refresh | ERROR=Refresh token not found
2026-05-12 14:04:34.811 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=128ms | DESC=User login attempt | ERROR=-
2026-05-12 14:07:08.032 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=2ms | DESC=Access token refresh | ERROR=Refresh token not found
2026-05-12 14:07:18.310 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=117ms | DESC=User login attempt | ERROR=-
2026-05-12 14:10:48.263 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=0ms | DESC=Access token refresh | ERROR=Refresh token not found
2026-05-12 14:13:04.026 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=61ms | DESC=User login attempt | ERROR=Invalid email or password. Please try again.
2026-05-12 14:13:07.332 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=124ms | DESC=User login attempt | ERROR=-
2026-05-12 14:23:06.792 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=5ms | DESC=Access token refresh | ERROR=Refresh token not found
2026-05-12 14:24:21.144 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=157ms | DESC=User login attempt | ERROR=-
2026-05-12 14:24:48.133 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=4ms | DESC=Access token refresh | ERROR=Refresh token not found
2026-05-12 14:30:19.867 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=3ms | DESC=Access token refresh | ERROR=Refresh token not found
2026-05-12 14:39:28.904 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=14ms | DESC=Access token refresh | ERROR=-
2026-05-12 14:43:37.976 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=81ms | DESC=User login attempt | ERROR=-
2026-05-12 14:58:39.733 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=4ms | DESC=Access token refresh | ERROR=Refresh token not found
2026-05-12 14:58:46.413 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=17ms | DESC=Access token refresh | ERROR=-
2026-05-12 15:03:50.877 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=114ms | DESC=User login attempt | ERROR=-
2026-05-12 15:04:56.119 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=78ms | DESC=User login attempt | ERROR=Invalid email or password. Please try again.
2026-05-12 15:05:19.491 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=106ms | DESC=User login attempt | ERROR=-
2026-05-12 15:05:30.205 [AUDIT] ACTION=ATTENDANCE_CHECK_IN | RESOURCE=Attendance | USER=vikram.shah@gmtechnosys.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=119ms | DESC=Employee check-in | ERROR=-
2026-05-12 15:05:42.283 [AUDIT] ACTION=ATTENDANCE_CHECK_OUT | RESOURCE=Attendance | USER=vikram.shah@gmtechnosys.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=46ms | DESC=Employee check-out | ERROR=-
2026-05-12 15:33:27.603 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=8ms | DESC=Access token refresh | ERROR=Refresh token not found
2026-05-12 15:33:31.677 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=128ms | DESC=User login attempt | ERROR=-
2026-05-12 15:42:56.118 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=143ms | DESC=User login attempt | ERROR=Invalid email or password. Please try again.
2026-05-12 15:43:29.126 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=185ms | DESC=User login attempt | ERROR=-
2026-05-12 15:50:24.296 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=3ms | DESC=Access token refresh | ERROR=Refresh token not found
2026-05-12 15:50:28.247 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=88ms | DESC=User login attempt | ERROR=-
2026-05-12 16:08:11.422 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=10ms | DESC=Access token refresh | ERROR=Refresh token not found
2026-05-12 16:08:29.922 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=220ms | DESC=User login attempt | ERROR=-
2026-05-12 17:54:11.912 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=166ms | DESC=Access token refresh | ERROR=Refresh token not found
2026-05-12 17:54:21.662 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=446ms | DESC=User login attempt | ERROR=-
2026-05-12 17:58:33.713 [AUDIT] ACTION=UPDATE | RESOURCE=RoleUserAssignment | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=22ms | DESC=Assign users to role | ERROR=-
2026-05-12 17:58:51.170 [AUDIT] ACTION=UPDATE | RESOURCE=RolePermissions | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=46ms | DESC=Update role permission matrix | ERROR=-
2026-05-12 18:17:27.380 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=790ms | DESC=Access token refresh | ERROR=-
